identificativo_natante,data_cattura,peso_kg,regione,zona_FAO
311,2023-06-17,57,SARDEGNA,37.1.3
134,2023-06-18,50,CALABRIA,37.2.2
137,2023-06-18,50,CALABRIA,37.2.2
140,2023-06-18,55,CALABRIA,37.2.2
318,2023-06-18,50,TOSCANA,37.1.3
353,2023-06-18,40,TOSCANA,37.1.3
135,2023-06-19,40,CALABRIA,37.2.2
149,2023-06-19,60,CALABRIA,37.2.2
140,2023-06-20,45,CALABRIA,37.2.2
141,2023-06-20,58,CALABRIA,37.2.2
149,2023-06-20,40,CALABRIA,37.2.2
137,2023-06-21,50,CALABRIA,37.2.2
352,2023-06-25,30,TOSCANA,37.1.3
324,2023-06-27,60,TOSCANA,37.1.3
40,2023-06-29,50,ABRUZZO,37.2.1
137,2023-07-02,50,CALABRIA,37.2.2
312,2023-07-02,50,SARDEGNA,37.1.3
131,2023-07-05,50,CALABRIA,37.2.2
200,2023-07-05,34,LAZIO,37.1.3
283,2023-07-06,50,MARCHE,37.2.1
186,2023-07-07,50,FRIULI VENEZIA GIULIA,37.2.1
324,2023-07-07,40,TOSCANA,37.1.3
37,2023-07-08,32,ABRUZZO,37.2.1
165,2023-07-08,30,MOLISE,37.2.1
230,2023-07-08,35,MARCHE,37.2.1
267,2023-07-08,35,MARCHE,37.2.1
283,2023-07-08,35,MARCHE,37.2.1
341,2023-07-08,35,TOSCANA,37.1.3
352,2023-07-08,30,TOSCANA,37.1.3
24,2023-07-09,35,ABRUZZO,37.2.1
101,2023-07-09,40,ABRUZZO,37.2.1
104,2023-07-09,50,ABRUZZO,37.2.1
150,2023-07-09,64,CALABRIA,37.2.2
180,2023-07-09,35,EMILIA ROMAGNA,37.2.1
207,2023-07-09,40,LAZIO,37.1.3
250,2023-07-09,40,MARCHE,37.2.1
252,2023-07-09,24,MARCHE,37.2.1
294,2023-07-09,30,MARCHE,37.2.1
304,2023-07-09,85,MARCHE,37.2.1
323,2023-07-09,36,TOSCANA,37.1.3
96,2023-07-10,35,ABRUZZO,37.2.1
136,2023-07-10,80,CALABRIA,37.2.2
160,2023-07-10,80,CALABRIA,37.2.2
179,2023-07-10,35,EMILIA ROMAGNA,37.2.1
236,2023-07-10,30,MARCHE,37.2.1
251,2023-07-10,40,MARCHE,37.2.1
267,2023-07-10,35,MARCHE,37.2.1
280,2023-07-10,55,MARCHE,37.2.1
299,2023-07-10,40,MARCHE,37.2.1
300,2023-07-10,35,MARCHE,37.2.1
301,2023-07-10,35,MARCHE,37.2.1
338,2023-07-10,47,TOSCANA,37.1.3
136,2023-07-11,81,CALABRIA,37.2.2
178,2023-07-11,60,EMILIA ROMAGNA,37.2.1
250,2023-07-11,40,MARCHE,37.2.1
252,2023-07-11,40,MARCHE,37.2.1
264,2023-07-11,35,MARCHE,37.2.1
301,2023-07-11,35,MARCHE,37.2.1
303,2023-07-11,40,MARCHE,37.2.1
352,2023-07-11,30,TOSCANA,37.1.3
76,2023-07-12,131,ABRUZZO,37.2.1
111,2023-07-12,40,ABRUZZO,37.2.1
132,2023-07-12,40,CALABRIA,37.2.2
148,2023-07-12,80,CALABRIA,37.2.2
283,2023-07-12,30,MARCHE,37.2.1
108,2023-07-14,30,ABRUZZO,37.2.1
142,2023-07-14,90,CALABRIA,37.2.2
267,2023-07-14,45,MARCHE,37.2.1
273,2023-07-14,45,MARCHE,37.2.1
301,2023-07-14,33,MARCHE,37.2.1
309,2023-07-14,30,MARCHE,37.2.1
1,2023-07-15,32,ABRUZZO,37.2.1
6,2023-07-15,35,ABRUZZO,37.2.1
10,2023-07-15,35,ABRUZZO,37.2.1
18,2023-07-15,70,ABRUZZO,37.2.1
34,2023-07-15,35,ABRUZZO,37.2.1
38,2023-07-15,37,ABRUZZO,37.2.1
45,2023-07-15,40,ABRUZZO,37.2.1
49,2023-07-15,35,ABRUZZO,37.2.1
62,2023-07-15,40,ABRUZZO,37.2.1
88,2023-07-15,40,ABRUZZO,37.2.1
92,2023-07-15,35,ABRUZZO,37.2.1
94,2023-07-15,40,ABRUZZO,37.2.1
99,2023-07-15,40,ABRUZZO,37.2.1
105,2023-07-15,30,ABRUZZO,37.2.1
117,2023-07-15,40,ABRUZZO,37.2.1
122,2023-07-15,35,ABRUZZO,37.2.1
128,2023-07-15,40,ABRUZZO,37.2.1
172,2023-07-15,40,MOLISE,37.2.1
178,2023-07-15,40,EMILIA ROMAGNA,37.2.1
194,2023-07-15,45,FRIULI VENEZIA GIULIA,37.2.1
198,2023-07-15,50,FRIULI VENEZIA GIULIA,37.2.1
201,2023-07-15,100,LAZIO,37.1.3
202,2023-07-15,50,LAZIO,37.1.3
203,2023-07-15,30,LAZIO,37.1.3
205,2023-07-15,40,LAZIO,37.1.3
207,2023-07-15,45,LAZIO,37.1.3
212,2023-07-15,42,LAZIO,37.1.3
237,2023-07-15,40,MARCHE,37.2.1
238,2023-07-15,40,MARCHE,37.2.1
245,2023-07-15,30,MARCHE,37.2.1
253,2023-07-15,30,MARCHE,37.2.1
254,2023-07-15,80,MARCHE,37.2.1
255,2023-07-15,30,MARCHE,37.2.1
256,2023-07-15,30,MARCHE,37.2.1
258,2023-07-15,40,MARCHE,37.2.1
259,2023-07-15,35,MARCHE,37.2.1
264,2023-07-15,35,MARCHE,37.2.1
280,2023-07-15,35,MARCHE,37.2.1
282,2023-07-15,30,MARCHE,37.2.1
283,2023-07-15,35,MARCHE,37.2.1
284,2023-07-15,45,MARCHE,37.2.1
298,2023-07-15,45,MARCHE,37.2.1
300,2023-07-15,30,MARCHE,37.2.1
302,2023-07-15,35,MARCHE,37.2.1
310,2023-07-15,40,PUGLIA,37.2.2
328,2023-07-15,35,TOSCANA,37.1.3
346,2023-07-15,45,TOSCANA,37.1.3
355,2023-07-15,66,VENETO,37.2.1
13,2023-07-16,40,ABRUZZO,37.2.1
13,2023-07-16,40,ABRUZZO,37.2.1
15,2023-07-16,35,ABRUZZO,37.2.1
15,2023-07-16,35,ABRUZZO,37.2.1
23,2023-07-16,50,ABRUZZO,37.2.1
23,2023-07-16,50,ABRUZZO,37.2.1
24,2023-07-16,35,ABRUZZO,37.2.1
24,2023-07-16,35,ABRUZZO,37.2.1
34,2023-07-16,30,ABRUZZO,37.2.1
36,2023-07-16,30,ABRUZZO,37.2.1
50,2023-07-16,35,ABRUZZO,37.2.1
67,2023-07-16,35,ABRUZZO,37.2.1
80,2023-07-16,40,ABRUZZO,37.2.1
93,2023-07-16,25,ABRUZZO,37.2.1
105,2023-07-16,30,ABRUZZO,37.2.1
110,2023-07-16,30,ABRUZZO,37.2.1
112,2023-07-16,40,ABRUZZO,37.2.1
125,2023-07-16,30,ABRUZZO,37.2.1
174,2023-07-16,40,EMILIA ROMAGNA,37.2.1
180,2023-07-16,45,EMILIA ROMAGNA,37.2.1
188,2023-07-16,41,FRIULI VENEZIA GIULIA,37.2.1
210,2023-07-16,50,LAZIO,37.1.3
234,2023-07-16,45,MARCHE,37.2.1
238,2023-07-16,35,MARCHE,37.2.1
246,2023-07-16,30,MARCHE,37.2.1
265,2023-07-16,35,MARCHE,37.2.1
274,2023-07-16,40,MARCHE,37.2.1
328,2023-07-16,60,TOSCANA,37.1.3
330,2023-07-16,40,TOSCANA,37.1.3
53,2023-07-17,40,ABRUZZO,37.2.1
180,2023-07-17,35,EMILIA ROMAGNA,37.2.1
181,2023-07-17,40,EMILIA ROMAGNA,37.2.1
190,2023-07-17,60,FRIULI VENEZIA GIULIA,37.2.1
238,2023-07-17,50,MARCHE,37.2.1
266,2023-07-17,36,MARCHE,37.2.1
281,2023-07-17,45,MARCHE,37.2.1
287,2023-07-17,40,MARCHE,37.2.1
337,2023-07-17,40,TOSCANA,37.1.3
340,2023-07-17,30,TOSCANA,37.1.3
8,2023-07-18,30,ABRUZZO,37.2.1
10,2023-07-18,35,ABRUZZO,37.2.1
22,2023-07-18,30,ABRUZZO,37.2.1
30,2023-07-18,60,ABRUZZO,37.2.1
32,2023-07-18,30,ABRUZZO,37.2.1
61,2023-07-18,35,ABRUZZO,37.2.1
75,2023-07-18,50,ABRUZZO,37.2.1
83,2023-07-18,40,ABRUZZO,37.2.1
95,2023-07-18,50,ABRUZZO,37.2.1
103,2023-07-18,38,ABRUZZO,37.2.1
113,2023-07-18,40,ABRUZZO,37.2.1
122,2023-07-18,30,ABRUZZO,37.2.1
134,2023-07-18,40,CALABRIA,37.2.2
156,2023-07-18,50,CALABRIA,37.2.2
171,2023-07-18,40,MOLISE,37.2.1
187,2023-07-18,40,FRIULI VENEZIA GIULIA,37.2.1
203,2023-07-18,40,LAZIO,37.1.3
219,2023-07-18,51,LIGURIA,37.1.3
