identificativo_natante,data_cattura,peso_kg,regione,zona_FAO
68,2024-06-16,30.00,MARCHE,37.2.1
272,2024-06-16,67.00,TOSCANA,37.1.3
276,2024-06-16,60.00,LIGURIA,37.1.3
328,2024-06-16,80.00,CALABRIA,37.1.3
373,2024-06-16,40.00,ABRUZZO,37.2.1
377,2024-06-16,30.00,TOSCANA,37.1.3
73,2024-06-17,40.00,CALABRIA,37.1.3
73,2024-06-18,82.00,CALABRIA,37.1.3
73,2024-06-19,50.00,CALABRIA,37.1.3
328,2024-06-19,40.00,CALABRIA,37.1.3
382,2024-06-19,85.00,CALABRIA,37.1.3
6,2024-06-20,80.00,CALABRIA,37.1.3
58,2024-06-20,45.00,TOSCANA,37.1.3
61,2024-06-20,70.00,CALABRIA,37.1.3
180,2024-06-20,80.00,CALABRIA,37.1.3
305,2024-06-20,96.00,VENETO,37.2.1
345,2024-06-20,86.00,CALABRIA,37.1.3
382,2024-06-20,80.00,CALABRIA,37.1.3
64,2024-06-21,45.00,EMILIA ROMAGNA,37.2.1
73,2024-06-21,45.00,CALABRIA,37.1.3
322,2024-06-21,40.00,CALABRIA,37.1.3
332,2024-06-21,50.00,LAZIO,37.1.3
363,2024-06-21,45.00,EMILIA ROMAGNA,37.2.1
398,2024-06-21,90.00,CALABRIA,37.1.3
228,2024-06-22,45.00,PUGLIA,37.2.2
257,2024-06-22,66.00,VENETO,37.2.1
326,2024-06-22,60.00,CALABRIA,37.1.3
267,2024-06-24,45.00,TOSCANA,37.1.3
290,2024-06-24,79.00,CALABRIA,37.1.3
103,2024-06-26,40.00,LAZIO,37.1.3
104,2024-06-26,40.00,LAZIO,37.1.3
45,2024-06-28,50.00,TOSCANA,37.1.3
47,2024-06-28,40.00,TOSCANA,37.1.3
105,2024-06-28,30.00,LAZIO,37.1.3
233,2024-06-28,90.00,VENETO,37.2.1
240,2024-06-28,36.00,TOSCANA,37.1.3
25,2024-06-29,80.00,CALABRIA,37.1.3
65,2024-06-29,37.00,CALABRIA,37.1.3
96,2024-06-29,65.00,ABRUZZO,37.2.1
101,2024-06-29,35.00,MARCHE,37.2.1
180,2024-06-29,40.00,CALABRIA,37.1.3
184,2024-06-29,40.00,ABRUZZO,37.2.1
192,2024-06-29,60.00,CALABRIA,37.1.3
223,2024-06-29,35.00,CALABRIA,37.1.3
233,2024-06-29,88.00,VENETO,37.2.1
261,2024-06-29,60.00,VENETO,37.2.1
312,2024-06-29,35.00,SARDEGNA,37.1.3
353,2024-06-29,40.00,VENETO,37.2.1
374,2024-06-29,90.00,CALABRIA,37.1.3
51,2024-06-30,40.00,MARCHE,37.2.1
182,2024-06-30,40.00,TOSCANA,37.1.3
223,2024-06-30,35.00,CALABRIA,37.1.3
234,2024-06-30,40.00,PUGLIA,37.2.2
279,2024-06-30,40.00,CALABRIA,37.1.3
313,2024-06-30,40.00,CALABRIA,37.1.3
332,2024-06-30,35.00,EMILIA ROMAGNA,37.2.1
384,2024-07-01,45.00,TOSCANA,37.1.3
329,2024-07-02,55.00,LIGURIA,37.1.3
267,2024-07-03,40.00,TOSCANA,37.1.3
21,2024-07-05,60.00,MARCHE,37.2.1
66,2024-07-05,110.00,CALABRIA,37.1.3
98,2024-07-05,38.00,VENETO,37.2.1
174,2024-07-05,41.00,VENETO,37.2.1
211,2024-07-05,50.00,MARCHE,37.2.1
282,2024-07-05,50.00,MARCHE,37.2.1
335,2024-07-05,30.00,EMILIA ROMAGNA,37.2.1
337,2024-07-05,50.00,EMILIA ROMAGNA,37.2.1
350,2024-07-05,80.00,TOSCANA,37.1.3
376,2024-07-05,40.00,ABRUZZO,37.2.1
382,2024-07-05,60.00,CALABRIA,37.1.3
31,2024-07-06,45.00,MARCHE,37.2.1
50,2024-07-06,35.00,FRIULI VENEZIA GIULIA,37.2.1
51,2024-07-06,50.00,MARCHE,37.2.1
73,2024-07-06,60.00,CALABRIA,37.1.3
87,2024-07-06,35.00,MARCHE,37.2.1
93,2024-07-06,50.00,MARCHE,37.2.1
177,2024-07-06,30.00,ABRUZZO,37.2.1
183,2024-07-06,37.00,ABRUZZO,37.2.1
184,2024-07-06,45.00,ABRUZZO,37.2.1
217,2024-07-06,35.00,ABRUZZO,37.2.1
265,2024-07-06,30.00,ABRUZZO,37.2.1
315,2024-07-06,35.00,ABRUZZO,37.2.1
