identificativo_natante,data_cattura,peso_kg,regione,zona_FAO
29,2025-06-16,60.0,TOSCANA,37.1.3
188,2025-06-17,45.0,TOSCANA,37.1.3
35,2025-06-18,40.0,SICILIA,37.1.3
69,2025-06-18,37.0,SICILIA,37.1.3
34,2025-06-19,50.0,TOSCANA,37.1.3
53,2025-06-19,50.0,SICILIA,37.1.3
250,2025-06-20,85.0,CALABRIA,37.1.3
289,2025-06-20,40.0,SICILIA,37.1.3
289,2025-06-20,40.0,SICILIA,37.1.3
140,2025-06-21,35.0,CALABRIA,37.1.3
251,2025-06-21,30.0,CALABRIA,37.1.3
252,2025-06-21,40.0,CALABRIA,37.1.3
46,2025-06-22,70.0,TOSCANA,37.1.3
5,2025-06-23,35.0,CALABRIA,37.1.3
28,2025-06-23,70.0,TOSCANA,37.1.3
233,2025-06-23,40.0,TOSCANA,37.1.3
279,2025-06-23,50.0,SICILIA,37.1.3
290,2025-06-23,50.0,SICILIA,37.1.3
321,2025-06-23,35.0,SICILIA,37.1.3
200,2025-06-24,55.0,CAMPANIA,37.1.3
289,2025-06-24,35.0,SICILIA,37.1.3
29,2025-06-25,70.0,TOSCANA,37.1.3
114,2025-06-25,45.0,SARDEGNA,37.1.3
27,2025-06-26,50.0,MARCHE,37.2.1
200,2025-06-26,65.0,CAMPANIA,37.1.3
316,2025-06-26,50.0,SICILIA,37.1.3
334,2025-06-26,56.0,FRIULI VENEZIA GIULIA,37.2.1
353,2025-06-26,30.0,ABRUZZO,37.2.1
131,2025-06-28,73.0,LIGURIA,37.1.3
205,2025-06-28,53.0,LIGURIA,37.1.3
15,2025-06-30,32.0,LIGURIA,37.1.3
50,2025-06-30,45.0,TOSCANA,37.1.3
53,2025-06-30,60.0,SICILIA,37.1.3
188,2025-06-30,70.0,TOSCANA,37.1.3
60,2025-07-01,50.0,SARDEGNA,37.1.3
81,2025-07-01,40.0,LAZIO,37.1.3
225,2025-07-01,40.0,CAMPANIA,37.1.3
322,2025-07-01,30.0,SICILIA,37.1.3
82,2025-07-02,30.0,LAZIO,37.1.3
212,2025-07-02,70.0,CAMPANIA,37.1.3
83,2025-07-03,55.0,LAZIO,37.1.3
115,2025-07-03,40.0,SARDEGNA,37.1.3
5,2025-07-04,80.5,CALABRIA,37.1.3
36,2025-07-04,40.0,TOSCANA,37.1.3
48,2025-07-04,60.0,TOSCANA,37.1.3
58,2025-07-04,45.0,MARCHE,37.2.1
84,2025-07-04,35.0,LAZIO,37.1.3
118,2025-07-04,50.0,TOSCANA,37.1.3
244,2025-07-04,40.0,MARCHE,37.2.1
255,2025-07-04,32.0,TOSCANA,37.1.3
295,2025-07-04,60.0,TOSCANA,37.1.3
